,venue,year,keyword,count,rank,rgb_color,hex_color
114,NeurIPS.cc/2021/Conference,2021,Variance Reduction,11,11,"[135, 44, 135]",872C87
115,NeurIPS.cc/2021/Conference,2021,Adversarial Attacks,10,10,"[142, 53, 142]",8E358E
116,NeurIPS.cc/2021/Conference,2021,Adversarial Learning,10,10,"[142, 53, 142]",8E358E
117,NeurIPS.cc/2021/Conference,2021,Computational Neuroscience,10,10,"[142, 53, 142]",8E358E
118,NeurIPS.cc/2021/Conference,2021,Generative Modeling,10,10,"[142, 53, 142]",8E358E
119,NeurIPS.cc/2021/Conference,2021,Image Synthesis,10,10,"[142, 53, 142]",8E358E
120,NeurIPS.cc/2021/Conference,2021,Information Bottleneck,10,10,"[142, 53, 142]",8E358E
121,NeurIPS.cc/2021/Conference,2021,Neural Odes,10,10,"[142, 53, 142]",8E358E
122,NeurIPS.cc/2021/Conference,2021,Off-Policy Evaluation,10,10,"[142, 53, 142]",8E358E
123,NeurIPS.cc/2021/Conference,2021,Out-Of-Distribution Generalization,10,10,"[142, 53, 142]",8E358E
124,NeurIPS.cc/2021/Conference,2021,Regret,10,10,"[142, 53, 142]",8E358E
125,NeurIPS.cc/2021/Conference,2021,Regret Minimization,10,10,"[142, 53, 142]",8E358E
126,NeurIPS.cc/2021/Conference,2021,Sampling,10,10,"[142, 53, 142]",8E358E
127,NeurIPS.cc/2021/Conference,2021,Scalability,10,10,"[142, 53, 142]",8E358E
128,NeurIPS.cc/2021/Conference,2021,Statistical Learning,10,10,"[142, 53, 142]",8E358E
129,NeurIPS.cc/2021/Conference,2021,Bayesian Deep Learning,9,9,"[150, 63, 150]",963F96
130,NeurIPS.cc/2021/Conference,2021,Bayesian Methods,9,9,"[150, 63, 150]",963F96
131,NeurIPS.cc/2021/Conference,2021,Certified Robustness,9,9,"[150, 63, 150]",963F96
132,NeurIPS.cc/2021/Conference,2021,Compression,9,9,"[150, 63, 150]",963F96
133,NeurIPS.cc/2021/Conference,2021,Contextual Bandits,9,9,"[150, 63, 150]",963F96
134,NeurIPS.cc/2021/Conference,2021,Disentanglement,9,9,"[150, 63, 150]",963F96
135,NeurIPS.cc/2021/Conference,2021,Graph,9,9,"[150, 63, 150]",963F96
136,NeurIPS.cc/2021/Conference,2021,Graphical Model,9,9,"[150, 63, 150]",963F96
137,NeurIPS.cc/2021/Conference,2021,High-Dimensional Statistics,9,9,"[150, 63, 150]",963F96
138,NeurIPS.cc/2021/Conference,2021,Hyperparameter Optimization,9,9,"[150, 63, 150]",963F96
139,NeurIPS.cc/2021/Conference,2021,Inverse Problems,9,9,"[150, 63, 150]",963F96
140,NeurIPS.cc/2021/Conference,2021,Manifold Learning,9,9,"[150, 63, 150]",963F96
141,NeurIPS.cc/2021/Conference,2021,Multi-Armed Bandit,9,9,"[150, 63, 150]",963F96
142,NeurIPS.cc/2021/Conference,2021,Mutual Information,9,9,"[150, 63, 150]",963F96
143,NeurIPS.cc/2021/Conference,2021,Out-Of-Distribution Detection,9,9,"[150, 63, 150]",963F96
144,NeurIPS.cc/2021/Conference,2021,Planning,9,9,"[150, 63, 150]",963F96
145,NeurIPS.cc/2021/Conference,2021,Sgd,9,9,"[150, 63, 150]",963F96
146,NeurIPS.cc/2021/Conference,2021,Spiking Neural Network,9,9,"[150, 63, 150]",963F96
147,NeurIPS.cc/2021/Conference,2021,Stability,9,9,"[150, 63, 150]",963F96
148,NeurIPS.cc/2021/Conference,2021,Vae,9,9,"[150, 63, 150]",963F96
149,NeurIPS.cc/2021/Conference,2021,Wasserstein Distance,9,9,"[150, 63, 150]",963F96
150,NeurIPS.cc/2021/Conference,2021,Algorithms,8,8,"[157, 73, 157]",9D499D
151,NeurIPS.cc/2021/Conference,2021,Augmentation,8,8,"[157, 73, 157]",9D499D
152,NeurIPS.cc/2021/Conference,2021,Bayesian,8,8,"[157, 73, 157]",9D499D
153,NeurIPS.cc/2021/Conference,2021,Benchmark,8,8,"[157, 73, 157]",9D499D
154,NeurIPS.cc/2021/Conference,2021,Bi-Level Optimization,8,8,"[157, 73, 157]",9D499D
155,NeurIPS.cc/2021/Conference,2021,Compositionality,8,8,"[157, 73, 157]",9D499D
156,NeurIPS.cc/2021/Conference,2021,Coresets,8,8,"[157, 73, 157]",9D499D
157,NeurIPS.cc/2021/Conference,2021,Debiasing,8,8,"[157, 73, 157]",9D499D
158,NeurIPS.cc/2021/Conference,2021,Distribution Shift,8,8,"[157, 73, 157]",9D499D
159,NeurIPS.cc/2021/Conference,2021,Geometric Deep Learning,8,8,"[157, 73, 157]",9D499D
160,NeurIPS.cc/2021/Conference,2021,Healthcare,8,8,"[157, 73, 157]",9D499D
161,NeurIPS.cc/2021/Conference,2021,Implicit Regularization,8,8,"[157, 73, 157]",9D499D
162,NeurIPS.cc/2021/Conference,2021,Inductive Bias,8,8,"[157, 73, 157]",9D499D
163,NeurIPS.cc/2021/Conference,2021,Inverse Reinforcement Learning,8,8,"[157, 73, 157]",9D499D
164,NeurIPS.cc/2021/Conference,2021,Lottery Ticket Hypothesis,8,8,"[157, 73, 157]",9D499D
165,NeurIPS.cc/2021/Conference,2021,Matrix Factorization,8,8,"[157, 73, 157]",9D499D
166,NeurIPS.cc/2021/Conference,2021,Memory,8,8,"[157, 73, 157]",9D499D
167,NeurIPS.cc/2021/Conference,2021,Model Selection,8,8,"[157, 73, 157]",9D499D
168,NeurIPS.cc/2021/Conference,2021,Multi-Agent,8,8,"[157, 73, 157]",9D499D
169,NeurIPS.cc/2021/Conference,2021,Offline Rl,8,8,"[157, 73, 157]",9D499D
170,NeurIPS.cc/2021/Conference,2021,Out-Of-Distribution,8,8,"[157, 73, 157]",9D499D
171,NeurIPS.cc/2021/Conference,2021,Positional Encoding,8,8,"[157, 73, 157]",9D499D
172,NeurIPS.cc/2021/Conference,2021,Probabilistic Model,8,8,"[157, 73, 157]",9D499D
173,NeurIPS.cc/2021/Conference,2021,Ranking,8,8,"[157, 73, 157]",9D499D
174,NeurIPS.cc/2021/Conference,2021,Robust Learning,8,8,"[157, 73, 157]",9D499D
175,NeurIPS.cc/2021/Conference,2021,Self-Supervision,8,8,"[157, 73, 157]",9D499D
176,NeurIPS.cc/2021/Conference,2021,Algorithmic Fairness,7,7,"[165, 83, 165]",A553A5
177,NeurIPS.cc/2021/Conference,2021,Algorithmic Stability,7,7,"[165, 83, 165]",A553A5
178,NeurIPS.cc/2021/Conference,2021,Approximate Inference,7,7,"[165, 83, 165]",A553A5
179,NeurIPS.cc/2021/Conference,2021,Automl,7,7,"[165, 83, 165]",A553A5
180,NeurIPS.cc/2021/Conference,2021,Bandit,7,7,"[165, 83, 165]",A553A5
181,NeurIPS.cc/2021/Conference,2021,Bayesian Network,7,7,"[165, 83, 165]",A553A5
182,NeurIPS.cc/2021/Conference,2021,Confidence Intervals,7,7,"[165, 83, 165]",A553A5
183,NeurIPS.cc/2021/Conference,2021,Constrained Optimization,7,7,"[165, 83, 165]",A553A5
184,NeurIPS.cc/2021/Conference,2021,Decentralized Optimization,7,7,"[165, 83, 165]",A553A5
185,NeurIPS.cc/2021/Conference,2021,Denoising,7,7,"[165, 83, 165]",A553A5
186,NeurIPS.cc/2021/Conference,2021,Differential Equations,7,7,"[165, 83, 165]",A553A5
187,NeurIPS.cc/2021/Conference,2021,Diffusion,7,7,"[165, 83, 165]",A553A5
188,NeurIPS.cc/2021/Conference,2021,Efficiency,7,7,"[165, 83, 165]",A553A5
189,NeurIPS.cc/2021/Conference,2021,Emergent Communication,7,7,"[165, 83, 165]",A553A5
190,NeurIPS.cc/2021/Conference,2021,Generalization Bound,7,7,"[165, 83, 165]",A553A5
191,NeurIPS.cc/2021/Conference,2021,Global Convergence,7,7,"[165, 83, 165]",A553A5
192,NeurIPS.cc/2021/Conference,2021,Gradient Estimation,7,7,"[165, 83, 165]",A553A5
193,NeurIPS.cc/2021/Conference,2021,Image Recognition,7,7,"[165, 83, 165]",A553A5
194,NeurIPS.cc/2021/Conference,2021,Importance Sampling,7,7,"[165, 83, 165]",A553A5
195,NeurIPS.cc/2021/Conference,2021,Instance Segmentation,7,7,"[165, 83, 165]",A553A5
196,NeurIPS.cc/2021/Conference,2021,Interpolation,7,7,"[165, 83, 165]",A553A5
197,NeurIPS.cc/2021/Conference,2021,Langevin Dynamics,7,7,"[165, 83, 165]",A553A5
198,NeurIPS.cc/2021/Conference,2021,Linear Bandits,7,7,"[165, 83, 165]",A553A5
199,NeurIPS.cc/2021/Conference,2021,Linear Function Approximation,7,7,"[165, 83, 165]",A553A5
200,NeurIPS.cc/2021/Conference,2021,Linear Regression,7,7,"[165, 83, 165]",A553A5
201,NeurIPS.cc/2021/Conference,2021,Lower Bounds,7,7,"[165, 83, 165]",A553A5
202,NeurIPS.cc/2021/Conference,2021,Mixture Model,7,7,"[165, 83, 165]",A553A5
203,NeurIPS.cc/2021/Conference,2021,Monte Carlo,7,7,"[165, 83, 165]",A553A5
204,NeurIPS.cc/2021/Conference,2021,Multi-Agent Learning,7,7,"[165, 83, 165]",A553A5
205,NeurIPS.cc/2021/Conference,2021,Multi-View Learning,7,7,"[165, 83, 165]",A553A5
